from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00002810,0.08402,1.82515,0.67054,-0.45485,0.09054,0.03739,3.46263,0.30633,-0.17737,0.04133,0.04835,3.41826,0.31627,-0.22174,0.05127,0.04835,3.41826,0.31627,-0.22174,0.05127
N00002811,0.08459,1.82195,0.67115,-0.45805,0.09115,0.03773,3.46075,0.3067,-0.17925,0.0417,0.04908,3.41454,0.31701,-0.22546,0.05201,0.04908,3.41454,0.31701,-0.22546,0.05201
N00002812,0.08459,1.82195,0.67115,-0.45805,0.09115,0.03773,3.46075,0.3067,-0.17925,0.0417,0.04908,3.41454,0.31701,-0.22546,0.05201,0.04908,3.41454,0.31701,-0.22546,0.05201
N00002813,0.08706,1.80794,0.67385,-0.47206,0.09385,0.03926,3.45249,0.30831,-0.18751,0.04331,0.05227,3.39815,0.32028,-0.24185,0.05528,0.05227,3.39815,0.32028,-0.24185,0.05528
N00002814,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002815,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002816,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002817,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002818,0.09041,1.78891,0.6775,-0.49109,0.0975,0.04136,3.44117,0.31051,-0.19883,0.04551,0.05663,3.3757,0.32475,-0.2643,0.05975,0.05663,3.3757,0.32475,-0.2643,0.05975
N00002819,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
