from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000070,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000071,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000072,0.11529,1.64564,0.70478,-0.63436,0.12478,0.05765,3.35242,0.32766,-0.28758,0.06266,0.11455,3.07396,0.38541,-0.56604,0.12041,0.11455,3.07396,0.38541,-0.56604,0.12041
N00000073,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000074,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000075,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000076,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000077,0.11663,1.63785,0.70625,-0.64215,0.12625,0.05856,3.3474,0.32863,-0.2926,0.06363,0.11649,3.06373,0.38747,-0.57627,0.12247,0.11649,3.06373,0.38747,-0.57627,0.12247
N00000078,0.11595,1.64181,0.7055,-0.63819,0.1255,0.0581,3.34995,0.32814,-0.29005,0.06314,0.1155,3.06893,0.38642,-0.57107,0.12142,0.1155,3.06893,0.38642,-0.57107,0.12142
N00000079,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
